PUMA,coarse_bins,gender,phase,pop_scale_black,pop_scale_white,pop_scale_asian,pop_scale_other,pop_scale_latino,pop_scale_native,beds,county
00100,"[20,30)",Male,2020-10-01,339.2328767123288,5163.372602739726,198.57534246575344,94.73698630136988,89.35890410958905,95.97808219178084,1536,baraga
00801,"[20,30)",Male,2020-10-01,81.9123287671233,2721.309589041096,160.1013698630137,53.780821917808225,570.9041095890411,12.824657534246576,458,ottawa
00802,"[20,30)",Male,2020-10-01,74.87945205479453,3601.246575342466,66.19178082191782,65.77808219178083,170.85753424657534,10.756164383561645,423,ottawa
00700,"[20,30)",Male,2020-10-01,786.854794520548,3274.4246575342468,26.890410958904113,103.0109589041096,255.6657534246575,40.95616438356165,774,muskegon
02400,"[20,30)",Male,2020-10-01,624.2712328767124,2533.0767123287674,102.18356164383562,62.88219178082192,281.7287671232877,17.375342465753427,774,berrien
01001,"[20,30)",Male,2020-10-01,259.8027397260274,3383.641095890411,111.69863013698632,97.2191780821918,627.1671232876713,20.27123287671233,502,kent
00600,"[20,30)",Male,2020-10-01,55.849315068493155,2046.5671232876712,12.41095890410959,41.78356164383562,245.3232876712329,19.857534246575344,628,lake
02500,"[20,30)",Male,2020-10-01,169.6164383561644,3179.27397260274,19.443835616438356,45.09315068493151,268.9041095890411,16.547945205479454,667,hillsdale
01600,"[20,30)",Male,2020-10-01,37.23287671232877,2628.2273972602743,7.446575342465754,23.994520547945207,121.62739726027398,13.238356164383562,807,huron
02000,"[20,30)",Male,2020-10-01,379.77534246575345,3756.797260273973,75.7068493150685,98.46027397260276,244.08219178082192,21.0986301369863,983,barry
00300,"[20,30)",Male,2020-10-01,18.2027397260274,2312.9890410958906,11.169863013698633,40.12876712328767,41.369863013698634,33.50958904109589,828,alcona
01200,"[20,30)",Male,2020-10-01,456.7232876712329,5266.3835616438355,121.62739726027398,87.29041095890412,215.1232876712329,82.73972602739727,1027,clare
01500,"[20,30)",Male,2020-10-01,1027.213698630137,3554.0849315068494,79.43013698630138,84.8082191780822,407.4931506849315,17.375342465753427,1038,saginaw
02102,"[20,30)",Male,2020-10-01,640.8191780821918,4534.964383561644,176.64931506849317,148.51780821917808,300.3452054794521,23.167123287671235,511,kalamazoo
02600,"[20,30)",Male,2020-10-01,611.4465753424657,3322.4136986301373,28.545205479452058,70.74246575342467,171.68493150684932,18.2027397260274,727,jackson
01400,"[20,30)",Male,2020-10-01,117.9041095890411,4228.827397260274,69.91506849315068,77.77534246575343,182.02739726027397,26.890410958904113,1046,bay
01300,"[20,30)",Male,2020-10-01,12.824657534246576,1887.706849315069,4.136986301369864,33.92328767123288,33.09589041095891,18.616438356164384,794,arenac
03211,"[20,30)",Male,2020-10-01,2757.301369863014,771.1342465753426,191.12876712328767,100.52876712328768,79.01643835616439,10.342465753424658,1178,wayne
03212,"[20,30)",Male,2020-10-01,1823.583561643836,398.8054794520549,16.96164383561644,58.74520547945206,1629.1452054794522,10.342465753424658,346,wayne
03207,"[20,30)",Male,2020-10-01,298.27671232876713,2236.868493150685,21.0986301369863,63.295890410958904,397.56438356164387,17.78904109589041,163,wayne
03206,"[20,30)",Male,2020-10-01,168.37534246575342,2520.2520547945205,83.56712328767124,47.57534246575343,176.64931506849317,14.47945205479452,1050,wayne
03203,"[20,30)",Male,2020-10-01,196.09315068493152,3474.654794520548,97.2191780821918,141.48493150684934,172.92602739726027,7.032876712328767,674,wayne
03205,"[20,30)",Male,2020-10-01,533.6712328767123,2033.328767123288,39.3013698630137,65.36438356164383,130.72876712328767,16.134246575342466,575,wayne
03210,"[20,30)",Male,2020-10-01,3341.8575342465756,258.97534246575344,155.55068493150685,71.56986301369864,52.95342465753425,10.342465753424658,209,wayne
03201,"[20,30)",Male,2020-10-01,526.2246575342466,3122.1835616438357,295.79452054794524,90.6,139.0027397260274,13.652054794520549,440,wayne
03208,"[20,30)",Male,2020-10-01,3587.1808219178083,320.6164383561644,11.583561643835615,85.22191780821919,95.15068493150686,10.756164383561645,672,wayne
03209,"[20,30)",Male,2020-10-01,2922.3671232876713,59.158904109589045,14.065753424657537,59.158904109589045,35.99178082191781,6.619178082191781,654,wayne
03204,"[20,30)",Male,2020-10-01,1027.627397260274,2724.205479452055,122.04109589041096,93.9095890410959,172.09863013698632,15.306849315068494,929,wayne
03202,"[20,30)",Male,2020-10-01,356.1945205479452,2728.3424657534247,65.77808219178083,53.780821917808225,107.14794520547946,13.238356164383562,1087,wayne
03300,"[20,30)",Male,2020-10-01,80.67123287671234,3180.515068493151,13.652054794520549,52.12602739726027,169.6164383561644,12.824657534246576,717,monroe
02800,"[20,30)",Male,2020-10-01,22.753424657534246,3391.087671232877,31.44109589041096,42.1972602739726,100.11506849315067,12.41095890410959,662,livingston
02901,"[20,30)",Male,2020-10-01,27.717808219178085,2347.3260273972605,24.40821917808219,36.4054794520548,95.15068493150686,10.756164383561645,444,oakland
01900,"[20,30)",Male,2020-10-01,310.6876712328767,3866.427397260274,140.65753424657535,90.6,275.1095890410959,16.547945205479454,819,clinton
03100,"[20,30)",Male,2020-10-01,131.55616438356165,3180.101369863014,13.652054794520549,49.230136986301375,128.24657534246575,19.857534246575344,782,st. clair
03004,"[20,30)",Male,2020-10-01,597.3808219178082,3143.282191780822,64.95068493150686,81.08493150684932,130.72876712328767,16.96164383561644,766,macomb
03213,"[20,30)",Male,2020-10-01,1210.068493150685,1191.4520547945206,177.47671232876712,83.15342465753425,48.81643835616438,7.86027397260274,976,wayne
