GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G06005912","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05912","79500US0605912",,,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",65941,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",1996
"G06005913","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05913","79500US0605913",,,"Orange County (Northwest)--Garden Grove City (East) PUMA, California",67682,"Orange County (Northwest)--Garden Grove City (East) PUMA, California",2178
"G06005914","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05914","79500US0605914",,,"Orange County (Northwest)--Huntington Beach City PUMA, California",95373,"Orange County (Northwest)--Huntington Beach City PUMA, California",1973
"G06005915","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05915","79500US0605915",,,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",146053,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",5417
"G06005916","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05916","79500US0605916",,,"Orange County (Central)--Santa Ana City (West) PUMA, California",67901,"Orange County (Central)--Santa Ana City (West) PUMA, California",2663
"G06005917","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05917","79500US0605917",,,"Orange County (Central)--Santa Ana City (East) PUMA, California",63701,"Orange County (Central)--Santa Ana City (East) PUMA, California",1529
"G06005918","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05918","79500US0605918",,,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",87725,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",3008
"G06006101","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06101","79500US0606101",,,"Placer County (Southwest)--Roseville City PUMA, California",89022,"Placer County (Southwest)--Roseville City PUMA, California",3043
"G06006102","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06102","79500US0606102",,,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA; California",95320,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA; California",2062
"G06006103","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06103","79500US0606103",,,"Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA, California",82128,"Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA, California",2921
"G06006501","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06501","79500US0606501",,,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",44131,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",1333
"G06006502","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06502","79500US0606502",,,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",53267,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",1378
"G06006503","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06503","79500US0606503",,,"Riverside County (Southwest)--Temecula City PUMA, California",98706,"Riverside County (Southwest)--Temecula City PUMA, California",3012
"G06006504","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06504","79500US0606504",,,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",89407,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",3079
"G06006505","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06505","79500US0606505",,,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",70348,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",2025
"G06006506","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06506","79500US0606506",,,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",54760,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",1735
"G06006507","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06507","79500US0606507",,,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",57703,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",2483
"G06006508","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06508","79500US0606508",,,"Riverside County (Northwest)--Moreno Valley City PUMA, California",66590,"Riverside County (Northwest)--Moreno Valley City PUMA, California",1861
"G06006509","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06509","79500US0606509",,,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",67062,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",2760
"G06006510","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06510","79500US0606510",,,"Riverside County (Northwest)--Riverside City (East) PUMA, California",72070,"Riverside County (Northwest)--Riverside City (East) PUMA, California",2155
"G06006511","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06511","79500US0606511",,,"Riverside County (Northwest)--Riverside City (West) PUMA, California",63885,"Riverside County (Northwest)--Riverside City (West) PUMA, California",1929
"G06006512","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06512","79500US0606512",,,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",101239,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",3047
"G06006513","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06513","79500US0606513",,,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",80385,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",2469
"G06006514","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06514","79500US0606514",,,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",85263,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",2530
"G06006515","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06515","79500US0606515",,,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",54930,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",1902
"G06006701","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06701","79500US0606701",,,"Sacramento County (North Central)--Citrus Heights City PUMA, California",62980,"Sacramento County (North Central)--Citrus Heights City PUMA, California",1587
"G06006702","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06702","79500US0606702",,,"Sacramento County (Central)--Rancho Cordova City PUMA, California",70390,"Sacramento County (Central)--Rancho Cordova City PUMA, California",1674
"G06006703","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06703","79500US0606703",,,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA; California",74240,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA; California",3258
"G06006704","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06704","79500US0606704",,,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA; California",44333,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA; California",1336
"G06006705","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06705","79500US0606705",,,"Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA, California",74225,"Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA, California",3321
"G06006706","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06706","79500US0606706",,,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA; California",63003,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA; California",1679
"G06006707","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06707","79500US0606707",,,"Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA, California",68448,"Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA, California",2326
"G06006708","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06708","79500US0606708",,,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA; California",44511,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA; California",1241
"G06006709","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06709","79500US0606709",,,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA; California",60332,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA; California",2262
"G06006710","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06710","79500US0606710",,,"Sacramento County (Central)--Elk Grove City PUMA, California",92945,"Sacramento County (Central)--Elk Grove City PUMA, California",2832
"G06006711","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06711","79500US0606711",,,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA; California",81968,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA; California",2989
"G06006712","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06712","79500US0606712",,,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA; California",100884,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA; California",2822
"G06007101","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07101","79500US0607101",,,"San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA, California",43873,"San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA, California",1442
"G06007102","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07102","79500US0607102",,,"San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA, California",54424,"San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA, California",3072
"G06007103","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07103","79500US0607103",,,"San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA, California",54764,"San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA, California",1659
"G06007104","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07104","79500US0607104",,,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA; California",64666,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA; California",2726
"G06007105","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07105","79500US0607105",,,"San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA, California",74466,"San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA, California",2224
"G06007106","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07106","79500US0607106",,,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA; California",57319,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA; California",3517
"G06007107","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07107","79500US0607107",,,"San Bernardino County (Southwest)--San Bernardino City (East) PUMA, California",51207,"San Bernardino County (Southwest)--San Bernardino City (East) PUMA, California",1709
"G06007108","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07108","79500US0607108",,,"San Bernardino County (Southwest)--San Bernardino City (West) PUMA, California",44918,"San Bernardino County (Southwest)--San Bernardino City (West) PUMA, California",1237
"G06007109","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07109","79500US0607109",,,"San Bernardino County (Southwest)--Rialto City PUMA, California",65144,"San Bernardino County (Southwest)--Rialto City PUMA, California",2019
"G06007110","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07110","79500US0607110",,,"San Bernardino County (Southwest)--Fontana City (East) PUMA, California",54821,"San Bernardino County (Southwest)--Fontana City (East) PUMA, California",2467
"G06007111","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07111","79500US0607111",,,"San Bernardino County (Southwest)--Rancho Cucamonga City PUMA, California",90978,"San Bernardino County (Southwest)--Rancho Cucamonga City PUMA, California",2183
"G06007112","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07112","79500US0607112",,,"San Bernardino County (Southwest)--Upland & Montclair Cities PUMA, California",69541,"San Bernardino County (Southwest)--Upland & Montclair Cities PUMA, California",2021
"G06007113","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07113","79500US0607113",,,"San Bernardino County (Southwest)--Ontario City PUMA, California",65939,"San Bernardino County (Southwest)--Ontario City PUMA, California",2079
"G06007114","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07114","79500US0607114",,,"San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA, California",92574,"San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA, California",3104
"G06007115","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07115","79500US0607115",,,"San Bernardino County (Southwest)--Fontana City (West) PUMA, California",84310,"San Bernardino County (Southwest)--Fontana City (West) PUMA, California",3221
"G06007301","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07301","79500US0607301",,,"San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA, California",68668,"San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA, California",2822
"G06007302","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07302","79500US0607302",,,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA; California",77243,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA; California",3017
"G06007303","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07303","79500US0607303",,,"San Diego County (Northwest)--Vista City PUMA, California",75632,"San Diego County (Northwest)--Vista City PUMA, California",2885
"G06007304","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07304","79500US0607304",,,"San Diego County (Northwest)--Carlsbad City PUMA, California",104597,"San Diego County (Northwest)--Carlsbad City PUMA, California",2819
"G06007305","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07305","79500US0607305",,,"San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA, California",73223,"San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA, California",2935
"G06007306","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07306","79500US0607306",,,"San Diego County (Northwest)--Escondido City (East) PUMA, California",68880,"San Diego County (Northwest)--Escondido City (East) PUMA, California",2638
"G06007307","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07307","79500US0607307",,,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA; California",86671,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA; California",2107
"G06007308","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07308","79500US0607308",,,"San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, California",110894,"San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, California",3701
"G06007309","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07309","79500US0607309",,,"San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, California",122106,"San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, California",4171
"G06007310","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07310","79500US0607310",,,"San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA, California",93389,"San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA, California",3214
"G06007311","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07311","79500US0607311",,,"San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA, California",145245,"San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA, California",3688
"G06007312","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07312","79500US0607312",,,"San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA, California",83158,"San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA, California",3045
"G06007313","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07313","79500US0607313",,,"San Diego County (Central)--El Cajon & Santee Cities PUMA, California",67226,"San Diego County (Central)--El Cajon & Santee Cities PUMA, California",1935
"G06007314","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07314","79500US0607314",,,"San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA, California",84434,"San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA, California",2012
"G06007315","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07315","79500US0607315",,,"San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA, California",81243,"San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA, California",1778
"G06007316","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07316","79500US0607316",,,"San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA, California",68220,"San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA, California",2061
"G06007317","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07317","79500US0607317",,,"San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA, California",50330,"San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA, California",1367
"G06007318","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07318","79500US0607318",,,"San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA, California",60916,"San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA, California",1672
"G06007319","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07319","79500US0607319",,,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA; California",75101,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA; California",2407
"G06007320","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07320","79500US0607320",,,"San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA, California",105107,"San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA, California",3409
"G06007321","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07321","79500US0607321",,,"San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA, California",51697,"San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA, California",1453
"G06007322","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07322","79500US0607322",,,"San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA, California",58880,"San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA, California",2108
"G06007501","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07501","79500US0607501",,,"San Francisco County (North & West)--Richmond District PUMA, California",113153,"San Francisco County (North & West)--Richmond District PUMA, California",3787
"G06007502","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07502","79500US0607502",,,"San Francisco County (North & East)--North Beach & Chinatown PUMA, California",121518,"San Francisco County (North & East)--North Beach & Chinatown PUMA, California",3354
"G06007503","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07503","79500US0607503",,,"San Francisco County (Central)--South of Market & Potrero PUMA, California",93767,"San Francisco County (Central)--South of Market & Potrero PUMA, California",5383
"G06007504","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07504","79500US0607504",,,"San Francisco County (Central)--Inner Mission & Castro PUMA, California",150715,"San Francisco County (Central)--Inner Mission & Castro PUMA, California",4596
"G06007505","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07505","79500US0607505",,,"San Francisco County (Central)--Sunset District (North) PUMA, California",123595,"San Francisco County (Central)--Sunset District (North) PUMA, California",4272
"G06007506","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07506","79500US0607506",,,"San Francisco County (South Central)--Sunset District (South) PUMA, California",110080,"San Francisco County (South Central)--Sunset District (South) PUMA, California",4222
"G06007507","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07507","79500US0607507",,,"San Francisco County (South Central)--Bayview & Hunters Point PUMA, California",76838,"San Francisco County (South Central)--Bayview & Hunters Point PUMA, California",3229
"G06007701","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07701","79500US0607701",,,"San Joaquin County (Central)--Stockton City (North) PUMA, California",63440,"San Joaquin County (Central)--Stockton City (North) PUMA, California",1472
"G06007702","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07702","79500US0607702",,,"San Joaquin County (Central)--Stockton City (South) PUMA, California",44399,"San Joaquin County (Central)--Stockton City (South) PUMA, California",1526
"G06007703","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07703","79500US0607703",,,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA; California",86583,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA; California",1470
"G06007704","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07704","79500US0607704",,,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA; California",63915,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA; California",1535
"G06007901","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07901","79500US0607901",,,"San Luis Obispo County (West)--Coastal Region PUMA, California",71637,"San Luis Obispo County (West)--Coastal Region PUMA, California",2380
"G06007902","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07902","79500US0607902",,,"San Luis Obispo County (East)--Inland Region PUMA, California",76139,"San Luis Obispo County (East)--Inland Region PUMA, California",3956
"G06008101","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08101","79500US0608101",,,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA; California",102013,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA; California",3321
"G06008102","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08102","79500US0608102",,,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",106804,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",3569
"G06008103","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08103","79500US0608103",,,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",129402,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",3626
"G06008104","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08104","79500US0608104",,,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",141463,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",3097
"G06008105","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08105","79500US0608105",,,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",140488,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",5115
"G06008106","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08106","79500US0608106",,,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",124836,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",7058
"G06008301","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08301","79500US0608301",,,"Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA, California",69274,"Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA, California",2384
"G06008302","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08302","79500US0608302",,,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA; California",68477,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA; California",3272
"G06008303","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08303","79500US0608303",,,"Santa Barbara County--South Coast Region PUMA, California",81297,"Santa Barbara County--South Coast Region PUMA, California",3416
"G06008501","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08501","79500US0608501",,,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA; California",156116,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA; California",4646
